max_age,senior_survival,optimal_percDart
56.000,0.100,0.406250
56.000,0.200,0.405273
56.000,0.300,0.407227
56.000,0.400,0.407227
56.000,0.500,0.405273
58.000,0.100,0.415039
58.000,0.200,0.416992
58.000,0.300,0.415039
58.000,0.400,0.418945
58.000,0.500,0.413086
60.000,0.100,0.420898
60.000,0.200,0.420898
60.000,0.300,0.422852
60.000,0.400,0.420898
60.000,0.500,0.420898
62.000,0.100,0.428711
62.000,0.200,0.430664
62.000,0.300,0.428711
62.000,0.400,0.428711
62.000,0.500,0.428711
64.000,0.100,0.436523
64.000,0.200,0.436523
64.000,0.300,0.438477
64.000,0.400,0.437500
64.000,0.500,0.436523
